Afrikaans | af | za
Albanian | sq | al
Arabic | ar | sa
Belarusian | be | by
Bulgarian | bg | bg
Chinese (Simplified) | zh-CN | cn
Chinese (Traditional) | zh-TW | cn
Catalan | ca | cat
Croatian | hr | hr
Czech | cs | cz
Danish | da | dk
Dutch | nl | nl
English | en | gb
Estonian | et | ee
Filipino | tl | ph
Finnish | fi | fi
French | fr | fr
Galician | gl | gal
German | de | de
Greek | el | gr
Hebrew | he | il
Hindi | hi | in
Hungarian | hu | hu
Icelandic | is | is
Indonesian | id | id
Irish | ga | ie
Italian | it | it
Japanese | ja | jp
Korean | ko | kr
Latvian | lv | lv
Lithuanian | lt | lt
Macedonian | mk | mk
Malay | ms | my
Maltese | mt | mt
Norwegian | no | no
Persian | fa | ir
Polish | pl | pl
Portuguese | pt | pt
Romanian | ro | ro
Russian | ru | ru
Spanish | es | es
Serbian | sr | rs
Slovak | sk | sk
Slovenian | sl | si
Swahili | sw | tz
Swedish | sv | se
Thai | th | th
Turkish | tr | tr
Ukrainian | uk | ua
Vietnamese | vi | vn
Welsh | cy | wel
Yiddish | yi | yid
